                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.0995,                 2.6653,                 1.5316,                0.93894,                0.38333,                0.57501,                0.44553,                 1.7634,                  2.421,                 1.5803,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.97378,                 1.1986,                 1.3042,                0.93894,                0.38333,                0.57501,                0.44553,                 1.7634,                  2.421,                 1.5803,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.70185,                 1.7557,                 1.2124,                0.76847,                0.38333,                0.57536,                0.43008,                 1.7272,                 2.4181,                 1.5384,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.79364,                 1.3044,                 1.1447,                0.76847,                0.38333,                0.57536,                0.43008,                 1.7272,                 2.4181,                 1.5384,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 0.7147,                 1.0991,                 1.1266,                 0.7646,                0.38333,                0.59173,                0.46976,                 1.7006,                 2.4435,                 1.5106,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.91889,                 1.5466,                 1.5264,                 0.7646,                0.38333,                0.59173,                0.46976,                 1.7006,                 2.4435,                 1.5106,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 0.8003,                 1.1514,                 1.1213,                0.75868,                0.38333,                0.57502,                0.46834,                  1.724,                 2.5085,                 1.5448,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.83653,                 1.1119,                 1.2686,                0.75868,                0.38333,                0.57502,                0.46834,                  1.724,                 2.5085,                 1.5448,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.80174,                 1.0987,                 1.4204,                0.76082,                0.38333,                0.57526,                0.44336,                 1.7243,                 2.5007,                  1.535,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.67096,                  1.185,                 1.0863,                0.76082,                0.38333,                0.57526,                0.44336,                 1.7243,                 2.5007,                  1.535,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.59112,                   1.04,                0.97922,                0.75918,                0.38333,                 0.5733,                0.45079,                 1.7285,                 2.4885,                 1.5303,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.71853,                0.83613,                 1.1337,                0.75918,                0.38333,                 0.5733,                0.45079,                 1.7285,                 2.4885,                 1.5303,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.80661,                 1.0972,                 1.2191,                0.75262,                0.38333,                 0.5774,                0.45299,                 1.7449,                 2.5023,                 1.5339,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.95352,                 1.2615,                 1.3795,                0.75262,                0.38333,                 0.5774,                0.45299,                 1.7449,                 2.5023,                 1.5339,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.78034,                 1.0764,                 1.1838,                0.91669,                0.38333,                0.49506,                0.38086,                 1.7459,                 2.4714,                 1.5283,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 0.9728,                 1.9695,                 1.2511,                0.91669,                0.38333,                0.49506,                0.38086,                 1.7459,                 2.4714,                 1.5283,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.75284,                 1.1814,                 1.2806,                0.91378,                0.38333,                0.49864,                 0.3796,                 1.7715,                 2.5091,                 1.5555,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.86613,                 1.3734,                 1.2209,                0.91378,                0.38333,                0.49864,                 0.3796,                 1.7715,                 2.5091,                 1.5555,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.60293,                 1.3065,                 1.2143,                0.91721,                0.38333,                 0.4953,                0.38094,                 1.7799,                 2.5276,                 1.5536,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.78425,                 1.0582,                 1.2653,                0.91721,                0.38333,                 0.4953,                0.38094,                 1.7799,                 2.5276,                 1.5536,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.83996,                0.99563,                 1.1264,                0.91721,                0.38333,                 0.4953,                0.38094,                 1.7799,                 2.5276,                 1.5536,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.67619,                 1.0276,                 1.1208,                0.97252,                0.36014,                0.49925,                 0.3651,                 1.7715,                 2.5258,                  1.546,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.73962,                 1.0138,                 1.1481,                0.97252,                0.36014,                0.49925,                 0.3651,                 1.7715,                 2.5258,                  1.546,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                0.78436,                 1.1206,                 1.1332,                0.97252,                0.36014,                0.49925,                 0.3651,                 1.7715,                 2.5258,                  1.546,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.69654,                0.94794,                 1.0482,                 0.9746,                0.35911,                 0.4577,                0.32941,                 1.7963,                 2.6341,                 1.5885,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 0.5847,                0.77134,                 1.1213,                 0.9746,                0.35911,                 0.4577,                0.32941,                 1.7963,                 2.6341,                 1.5885,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.68049,                0.74097,                 1.1838,                 0.9746,                0.35911,                 0.4577,                0.32941,                 1.7963,                 2.6341,                 1.5885,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.77173,                0.80808,                 1.1724,                0.91736,                0.38333,                0.45773,                0.32989,                 1.7931,                 2.6225,                  1.568,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.97841,                 1.6879,                 1.4146,                0.91736,                0.38333,                0.45773,                0.32989,                 1.7931,                 2.6225,                  1.568,             2.8988e-05,             2.8988e-05,             2.8988e-05
